column_name,count
"challenges",228
"contributions",221
"quotation",200
"contents",194
"argument",183
"sources",183
"description",122
"section",94
"aspect",84
"significance",83
"subsection",74
"concept",57
"details",57
"definition",40
"category",36
"methodology",31
"proclus",29
"purpose",28
"plotinus",27
"scholar",26
"section and subsection",26
"type of evidence",21
"example from text",21
"applications in alchemy",18
"theme",18
"mechanics",18
"content",18
"interpretation",17
"legacy",17
"context",16
"examples",16
"agrippa’s magical philosophy",15
"work",15
"date",15
"time period",15
"latin term",14
"alchemist",14
"quotation (page)",14
"takeaways",14
"iamblichus",14
"takeaway",14
"feature",14
"key quotation",13
"thinker",12
"materials",12
"historiography",12
"explanation",12
"porphyry",12
"page reference",12
"evidence",11
"source",11
"evidence type",11
"author",11
"examples from the document",11
"key themes",11
"biography",10
"works",10
"limitations",10
"sonnet number",10
"term",9
"example sentence from text (citation)",9
"function",9
"theories",9
"historiographical context",9
"text",9
"aristotle",9
"historical context",8
"notes",8
"key insights",8
"evaluation",8
"alchemical context",8
"key contributions",8
"name",8
"relevance to argument",8
"methods",8
"greek term",8
"goals",8
"period",7
"style",7
"challenges in interpretation",7
"relevance",7
"element",7
"meaning",7
"summary",6
"analysis",6
"location",6
"conclusion",6
"key quotation (page)",6
"text/dialogue examples",6
"scenario",6
"dialogue prompt",6
"player choices",6
"outcome possibilities",6
"in-game text/feedback",6
"npc dialogue/behavior",6
"impact on gameplay",6
"gameplay effect",6
"risks and drawbacks",6
"usage in gameplay",6
"equipment and tools",6
"processes and techniques",6
"cultural and historical context",6
"philosophical context",6
"albertus magnus",6
"roger bacon",6
"date/text/author",6
"contribution to traditions of magic",6
"element from scholarship",6
"connection to bruno",6
"section/subsection",6
"practice/text",6
"transliteration",6
"grammar notes",6
"interpretation and significance",6
"act 1 (problem/thesis)",6
"act 2 (development)",6
"act 3 (resolution/volta)",6
"english term",5
"genre",5
"application in the document",5
"part",5
"key works",5
"applications",5
"application in the article",5
"application",5
"choice quotations (with chapter/verse and key terms)",5
"citation",5
"plato",5
"artisanal culture",5
"figure",5
"strengths",5
"notable features",5
"key figures",5
"lacunae",5
"event/development",5
"context and explanation",5
"quotation (page ref)",5
"scholasticism",5
"dionysius",5
"nature",5
"key features",5
"biblical references",5
"content focus",4
"theories/focus",4
"why it matters",4
"biblical reference",4
"alchemical interpretation",4
"dimension",4
"challenges to tradition",4
"historiographical concerns",4
"theological idea",4
"thinker(s)",4
"npc role",4
"dialogue/behavior",4
"reputation tier",4
"material",4
"effects/outcomes",4
"contribution",4
"region",4
"major contributions",4
"philosophical influences",4
"texts or works",4
"metallurgical concept/methodology",4
"contributions to scholarship",4
"challenges to scholarship",4
"additional notes",4
"idea",4
"worldbuilding",4
"educational angle",4
"content/focus",4
"relevance to oberstockstall",4
"evidence at oberstockstall",4
"religious image/element",4
"integration in alchemical ops",4
"medium",4
"role/field",4
"contributions to alchemy",4
"chemistry or scientific insights",4
"relation to longevity",4
"symbolic dimension",4
"practical dimension",4
"examples from text",4
"practice",4
"evidence from document",4
"corresponding game feature",4
"book & chapter",4
"relevant passage summary",4
"connections to bruno",4
"application in the paper",4
"relevance to bruno studies",4
"weaknesses",4
"hermetic themes",4
"sources referenced",4
"alchemical properties",4
"critic",4
"key arguments",4
"perspective on yates's work",4
"level",4
"greek",4
"character",4
"mnemonic function",4
"chapter number",3
"chapter title",3
"overview of contents",3
"type",3
"topic",3
"key examples",3
"concept/methodology",3
"article focus",3
"cultural context",3
"prevailing views",3
"why it’s important",3
"contexts",3
"alchemy",3
"historiographical significance",3
"code snippet",3
"stage",3
"themes",3
"evidence under consideration",3
"role in argument",3
"substance",3
"implications",3
"historiographical concept",3
"equipment",3
"evidence from the document",3
"example from the text",3
"relevance to magic",3
"aristotle quote (citation)",3
"artist/style/medium",3
"applications in the twelfth century",3
"alchemical material",3
"summary of yates's views",3
"focus",3
"text (author, century)",3
"bruno",3
"gloss",3
"example from the article",3
"neoplatonism",3
"role/contributions",3
"step",3
"key idea",3
"key contribution",3
"hermetic principles",3
"imagery/metaphors",3
"semiotic role",3
"magical application",3
"magical implication",3
"column a",2
"column b",2
"year",2
"key figures/themes",2
"item",2
"relevance in the text",2
"examples or insights",2
"text title",2
"attributed author",2
"language",2
"transmission and influence",2
"manuscript",2
"theological elements",2
"technical details",2
"spiritual relevance",2
"physical relevance",2
"contributions to the study",2
"quotation (page reference)",2
"what it shows",2
"where it's from",2
"evidence/example",2
"examples/connections",2
"step of the argument",2
"key ideas",2
"sources from cusa’s works",2
"relevance to creativity and artifice",2
"alchemist(s)",2
"purpose of interpretation",2
"alchemical concept",2
"associated symbols or terms",2
"purpose or interpretation",2
"philosophical contributions",2
"philosophical theology context",2
"theological contributions",2
"ancient",2
"medieval",2
"early modern",2
"chymistry",2
"philosophical theology",2
"integration",2
"methodological concerns",2
"evidential concerns",2
"other concerns",2
"paper's approach",2
"new historiography of alchemy",2
"hirai’s contribution",2
"comparison with newman and principe",2
"refined understanding of spiritual alchemy",2
"impact on medicine",2
"key concepts",2
"impact on medicine and healing",2
"key event/idea",2
"concept or contribution",2
"key materials",2
"cultural contexts",2
"quotations and page references",2
"core concepts",2
"theoretical context",2
"significance in the paper",2
"critiques and influence",2
"game concept",2
"educational value",2
"style/art direction",2
"player role/goals",2
"unique features",2
""alchemist’s apprentice"",2
""healing the town"",2
""alchemical academy simulation"",2
""alchemical detective story"",2
""the paracelsian journey"",2
"players take on the role of a reclusive apothecary who has inherited a mysterious alchemical codex. the game revolves around deciphering encoded recipes, unlocking secrets hidden within the codex, and solving puzzles to perfect long-lost remedies.",2
"in this stealth-based game, players are a paracelsian alchemist persecuted by the church for heretical practices. they must secretly gather ingredients, conduct experiments, and treat patients while evading inquisitors and rival alchemists.",2
"players run a mobile apothecary traveling across renaissance europe’s trade routes. the goal is to trade remedies, gather rare ingredients, and manage resources while adapting to local challenges and events.",2
"players are tasked with defending their alchemical tower from rival alchemists, inquisitors, and thieves. to do so, they must build defenses, craft explosive concoctions, and conduct experiments to unlock new technologies.",2
"in this dark narrative game, players are an alchemist investigating a mysterious epidemic that seems to involve supernatural forces. blurring the line between alchemical experimentation and occult rituals, the game explores the darker side of renaissance science.",2
"a competitive multiplayer game where players embody renaissance alchemists vying for fame, fortune, and patronage. they must craft remedies, sabotage rivals, and win over powerful patrons in a dynamic, fast-paced setting.",2
"a choose-your-own-adventure game where players reenact historical alchemical experiments and debates. the game uses branching narratives to show how different choices shaped historical developments in science and medicine.",2
"game idea",2
"narrative design",2
"learning theories",2
"unexpected advice",2
"advice",2
"best practices",2
"thoughts/considerations",2
"crafting stage",2
"relationship tier",2
"lesson name",2
"student feedback",2
"experiment stage",2
"clue",2
"environmental description",2
"impact on investigation",2
"special properties",2
"preparation",2
"area of focus",2
"notable works/articles",2
"historical context/impact",2
"topics covered",2
"key quotes",2
"key focus",2
"key examples/artifacts",2
"page number",2
"interpretation in the paper",2
"symbol/element",2
"masonic or esoteric links",2
"author/artist",2
"content/theme",2
"application in the thesis",2
"role in analysis",2
"substance/concept",2
"alchemical synonyms/terms",2
"role in the study of alchemy",2
"challenges and critiques",2
"spirit",2
"synonyms/decknamen",2
"decknamen (coded names)",2
"explanation/significance",2
"challenges/limitations",2
"feature/content of marginal note",2
"role in understanding manuscript",2
"limitations or critiques",2
"figures/texts",2
"relevance to the argument",2
"scholar/alchemist",2
"mentioned contributions",2
"relevance to bonus’s argument",2
"alchemical process",2
"alchemical term/material",2
"interpretation/significance",2
"associated practices/processes",2
"key works/texts",2
"comparison",2
"scholars",2
"bensaude-vincent",2
"eddy",2
"documentary idea",2
"how it builds on de jong and furnace and fugue",2
"atalanta fugiens",2
"chemistry",2
"spirituality",2
"use in document",2
"relevance to document",2
"associated works/texts",2
"materials used",2
"purpose in analysis",2
"criteria",2
"details/examples",2
"wine term/category",2
"chemical term/method",2
"alchemical meaning",2
"modern chemical meaning",2
"winemaking context",2
"name/place/period",2
"context in the study",2
"context in alchemy",2
"criterion",2
"remarks on impact",2
"date/period",2
"application in the study of magic",2
"relevant quotation",2
"educational game mechanic",2
"learning goal",2
"application of the quotation",2
"artifact/text",2
"site",2
"artifacts/findings",2
"significance to study of magic",2
"methodology/concept",2
"application in the study",2
"significance to analysis",2
"citations by alchemists",2
"relevance to alchemical matter theory",2
"plotinus (work, ennead/section)",2
"porphyry (work, section)",2
"iamblichus (work, section)",2
"proclus (work, section)",2
"philosopher",2
"aspect of engagement",2
"connections to bruno or broader themes",2
"role/significance",2
"key contributions/context",2
"field/focus",2
"contribution to bruno studies",2
"key works/context",2
"role",2
"connection to themes",2
"concept/idea",2
"cognitive science context",2
"outcome",2
"focus/contribution",2
"notable ideas",2
"challenges in analysis",2
"impact on later thought",2
"critiques",2
"findings",2
"definition/origin",2
"transmission",2
"popularization",2
"interpretation in alchemy",2
"definition/description",2
"details from the document",2
"mystery",2
"ideas for paper topics",2
"discipline",2
"modern chemical understanding",2
"definition and causes of properties",2
"relevance to students of historiography",2
"how to code them",2
"marketing considerations",2
"feasibility (ease of implementation)",2
"desirability (user demand)",2
"attention needed (planning focus)",2
"modern interpretation",2
"thesis",2
"tradition",2
"century",2
"dragon symbolism",2
"quotation (latin and english)",2
"hermetic principle",2
"modern uses",2
"description in the text",2
"bruno's originality",2
"texts",2
"purpose/outcome",2
"quotation with page reference",2
"book/section",2
"parallels in the hermetic corpus",2
"motif",2
"deep egyptian (pharaonic)",2
"pgm (greek magical papyri)",2
"hermetica",2
"case",2
"latin word example",2
"techniques compared",2
"material components",2
"magician",2
"relation to magic",2
"relation to kabbalah",2
"relation to theurgy",2
"intellectual ascent",2
"controversy",2
"examples from the text",2
"type of magic",2
"relevance to the article",2
"challenges addressed",2
"chapter",2
"thelema",2
"role in magic",2
"comment",2
"latin cognate",2
"greek cognate",2
"brief definition",2
"relevance to renaissance neoplatonic debate",2
"jabir’s sulfur-mercury theory",2
"example",2
"work title",2
"quotations & literary devices",2
"tone",2
"card",2
"grade",2
"principle",2
"index",1
"very long column header name with scrollbars",1
"long column header",1
"source / figure",1
"role in weller’s argument",1
"date / place",1
"summary & themes",1
"relation to de pictura",1
"latin / italian title",1
"field",1
"description & innovations",1
"project",1
"location / date",1
"features & innovations",1
"title",1
"documents",1
"challenges in evidence",1
"insights provided",1
"challenges and limitations",1
"author/philosopher",1
"work(s) referenced",1
"context in the document",1
"philosophical contribution",1
"relation to albert's argument",1
"section title",1
"content summary",1
"key highlights",1
"methodology/theory",1
"quote",1
"book",1
"strengths in reviews",1
"key criticisms",1
"philip ball",1
"william r. newman",1
"lawrence principe",1
"pamela smith",1
"tara nummedal",1
"instrument",1
"soundboard",1
"body/back/sides",1
"neck/fingerboard",1
"philosophical mercury",1
"elemental mercury",1
"zodiac sign",1
"glyph",1
"process description",1
"suggested game mechanic",1
"al-ghazali's position",1
"presence in 17th-century alchemy/chymistry",1
"alignment with modern science",1
"limitations or gaps",1
"key figures/examples",1
"application in dissertation",1
"description/properties",1
"choice quotations",1
"magical object",1
"game/element",1
"material elements",1
"magical uses",1
"cultural anxiety",1
"magical context",1
"type of divine being",1
"roles in rituals",1
"cultural influences",1
"key characteristics",1
"examples in pgm",1
"hymn title/reference",1
"purpose/function",1
"poetic features",1
"ritual context",1
"sacred or magical use",1
"orientation/movement",1
"ritual or astrological context",1
"symbolic meaning",1
"cultural variations",1
"context in the oracles",1
"interpretation in the article",1
"theurgical significance",1
"text/source",1
"portrayal of circe",1
"role in the narrative",1
"key work(s)",1
"aristotle quote",1
"key terms (greek)",1
"stoic philosophers",1
"middle platonist philosophers",1
"other influential philosophers",1
"additional influential concepts",1
"key quote",1
"artist",1
"artist and works",1
"artist (dates)",1
"bruno's encounter with platonism",1
"bruno's encounter with hermeticism",1
"context and interpretation",1
"frances yates's account",1
"account in this volume",1
"concept/technique",1
"life stage",1
"challenges faced",1
"year(s)",1
"event",1
"key works or contributions",1
"event or action",1
"trouble faced",1
"cause",1
"step in the argument",1
"magical practice",1
"role in manuscript",1
"sources/traditions referenced",1
"type of source",1
"relevance to the manuscript",1
"rune name",1
"elemental property",1
"associated celestial body or zodiacal division",1
"magical function",1
"notes on authenticity",1
"subjects",1
"theories and focus",1
"philosophical concept",1
"definition and scope",1
"philosophical origin",1
"impact on the twelfth-century renaissance",1
"key figures in the 12th century",1
"influence on future medieval philosophers",1
"allegory",1
"source or tradition",1
"concept of nature",1
"nature as a book",1
"nature as a process",1
"methodologies",1
"application in study",1
"authorship",1
"origin and authorship",1
"content and themes",1
"transformation in islamic tradition",1
"transmission to latin alchemy",1
"impact",1
"interpretation in the latin west",1
"historiographical takeaways",1
"relation to the document’s argument",1
"potential overlooked points",1
"role in alchemy",1
"origin and transmission",1
"influence on tradition",1
"transmission and development",1
"historiography (alchemical)",1
"processes",1
"historiographical notes",1
"critique or development",1
"challenges or gaps",1
"intersection with alchemy",1
"concept/technology",1
"origins",1
"influence on metallurgy",1
"symbolism",1
"alchemical usage",1
"modern chemistry explanation",1
"innovation",1
"building on ancient greek alchemy",1
"legacy in western alchemy",1
"discovery/recipe",1
"key properties and materials",1
"ancient and medieval production",1
"modern industrial production",1
"notes on transition",1
"ui feature",1
"purpose/usefulness",1
"interaction mode",1
"user benefit",1
"complexity level",1
"what we can learn",1
"axis",1
"neo-aristotelian reading",1
"humanist theology",1
"new position",1
"older view (yates, cassirer, garin)",1
"copenhaver’s revision",1
"pico’s formula",1
"what it does",1
"what they see in the platonic theses",1
"literal sense",1
"theological reading",1
"representative thesis",1
"magic defined as",1
"method/framework",1
"relation to theology",1
"zambelli’s reading",1
"later scholar",1
"revision to zambelli",1
"strengths of zambelli",1
"limitations by modern standards",1
"zambelli (philosophical magic)",1
"newer wave (theological anthropology)",1
"interpretive stage",1
"historical emphasis",1
"model",1
"what the magus does",1
"purpose of knowing",1
"platonic-emanationist",1
"pico-aristotelian",1
"complementary point",1
"view of energeia/actus",1
"effect in pico",1
"function of angelic mind",1
"philosophical sources",1
"theological role",1
"effect on pico’s angelology",1
"phase",1
"representative works",1
"philosophical grounding",1
"tone / style",1
"ficino’s model",1
"benivieni’s revision (per pugliese)",1
"faculty",1
"mode of operation",1
"analogy",1
"ontological level",1
"state",1
"act / potency relation",1
"mode of divine presence",1
"emphasis",1
"implication for pico",1
"pico",1
"prop.",1
"doctrine",1
"pico’s appropriation",1
"proclean principle",1
"thomistic adaptation",1
"key doctrine",1
"pico’s recasting",1
"hebrew concept",1
"pico’s latin / scholastic analogue",1
"framework",1
"language of form",1
"mode of causation",1
"result",1
"old view (yates, walker)",1
"busi & ebgi’s revision",1
"entity",1
"key fields",1
"text/author",1
"description of the dragon",1
"symbolic evolution",1
"quotation (latin/greek and english)",1
"ficinian concept",1
"emblematic function",1
"emblem",1
"campanella",1
"emblematic culture",1
"emblematic translation",1
"warburgian concept",1
"emblematic application",1
"domain",1
"emblem function",1
"nw",1
"n",1
"ne",1
"e",1
"purpose/focus",1
"methods and features",1
"scholarly challenges",1
"key figures/works",1
"theory/focus",1
"subject matter",1
"relevance to historiography",1
"magical text/figure",1
"associated scholars",1
"alchemical ingredient",1
"modern scientific interpretation",1
"modern chemical process",1
"scientific explanation",1
"modern applications",1
"alchemical equipment",1
"modern scientific counterpart",1
"significance in alchemy",1
"modern relevance or interpretation",1
"misconception",1
"clarification",1
"views",1
"treatment",1
"sub-subsection",1
"spinoza",1
"hegel",1
"quotation (clucas)",1
"quotation (neoplatonist)",1
"quotation (bruno)",1
"element of satire",1
"function in bruno’s work",1
"metaphysical concept",1
"role in bruno’s work",1
"renaissance",1
"blum's views",1
"ancient greek context",1
"neoplatonic context",1
"medieval context",1
"renaissance context",1
"bruno’s original development",1
"philosophical influence",1
"core ideas bruno received",1
"bruno’s innovations",1
"key differences/challenges",1
"ch xiii (rebirth)",1
"discourse on the eighth & ninth (nhc vi.6)",1
"stage (van gennep/turner)",1
"sethian example",1
"hermetic example",1
"",1
"quotation/description",1
"equipment (page reference)",1
"challenges to prevailing views",1
"process",1
"materials/ingredients",1
"texts & page references",1
"board game feature",1
"mechanic",1
"grimes",1
"principe",1
"specific example",1
"significance to argument",1
"alchemical tinctures",1
"contemporary tinctures",1
"quote from iamblichus",1
"quote from ch",1
"erotic stage",1
"alchemical phase",1
"spiritual meaning",1
"greek term(s)",1
"english gloss",1
"hermetica reference",1
"iamblichus reference",1
"hermetic spirituality (hanegraaff)",1
"pgm spirituality (ritual/initiatory)",1
"deep egyptian spirituality (theological–ritual)",1
"eriugena (excessus)",1
"kant (transcendental limits)",1
"hegel (dialectics of absolute spirit)",1
"metaphysical role",1
"plotinus & proclus (pagan neoplatonism)",1
"dionysius (christian neoplatonism)",1
"usage",1
"latin verb example",1
"view of participation",1
"relation to dionysius",1
"alexander of aphrodisias",1
"middle platonists",1
"neoplatonists",1
"middle platonic view",1
"middle platonism",1
"influence from plotinus",1
"grammatical form",1
"metaphysical function",1
"latin translation",1
"meaning in dionysius",1
"proclus' theurgy",1
"dionysius' theurgy",1
"cappadocians",1
"henads (proclus)",1
"angels (dionysius)",1
"gnostic elements",1
"magical elements",1
"gnostic connections",1
"arguments",1
"place in the argument",1
"associations",1
"role in the discourse",1
"topic or insight",1
"connections",1
"relevance to broader themes",1
"relevance to the study of magic",1
"english name",1
"war name",1
"dates",1
"grimoire name",1
"theorist/theory",1
"application in the volume",1
"examples from the volume",1
"purpose or function",1
"http method",1
"endpoint",1
"metric",1
"weight (%)",1
"main contributions",1
"key works referenced",1
"distinctive features",1
"cultural significance",1
"type of speech act",1
"roman examples",1
"illocutionary force",1
"theoretical basis",1
"key thinkers referenced",1
"examples discussed",1
"religious context",1
"roman",1
"object",1
"function in rituals",1
"greek context",1
"roman context",1
"theory",1
"terms",1
"qabala",1
"pragmatism",1
"rituals",1
"exercises",1
"deities",1
"deity",1
"key associations and examples",1
"example from spanu’s analysis",1
"fragment (psellus / des places)",1
"chaldean theme or oracle quoted",1
"proclus’ interpretation (summary)",1
"spanu’s evaluation of faithfulness",1
"evaluation category",1
"fragments",1
"view",1
"representative scholars",1
"thematic area",1
"role of the chaldean oracles in proclus’ system",1
"spanu’s evaluation",1
"dimension of proclean metaphysics",1
"degree of chaldean influence",1
"position",1
"advocates",1
"plotinian principle",1
"proclean expansion",1
"ontological continuity",1
"plotinian text",1
"works cited/referenced",1
"context in review",1
"key sources",1
"earlier scholarship (taylor, stolzenberg, grimes 2018, hallum 2009)",1
"new additions (grimes 2019; escolano-poveda 2022; app 2021)",1
"earlier scholars",1
"what fraser adds",1
"work / cluster",1
"format & audience",1
"main focus",1
"central message",1
"view on identity",1
"verifiable facts (with sources)",1
"summary of grimes’s argument",1
"day",1
"task",1
"religious significance",1
"typical works",1
"primary studies",1
"in the technical hermetica",1
"in zosimos / alchemy",1
"alchemical parallels for zosimos",1
"earlier scholarly model",1
"hanegraaff’s contribution",1
"synthesis for biography",1
"question",1
"central theme",1
"role in pico's thought",1
"dionysian idea",1
"pico’s engagement",1
"dionysian concept",1
"pico’s interpretation",1
"thomistic view",1
"pico's position",1
"thomistic source",1
"pico’s use",1
"stanza (quote)",1
"pico's commentary",1
"renaissance neoplatonism",1
"pico vs. ficino",1
"ficino's interpretation",1
"pico's interpretation",1
"jabir ibn hayyan’s sulfur-mercury theory",1
"greek/latin",1
"neoplatonists (plotinus, synesius)",1
"marsilio ficino",1
"giordano bruno",1
"ancient question",1
"modern replacement",1
"ancient problem",1
"modern name",1
"key insight",1
"approach",1
"key concept",1
"visionary experience seen as",1
"work(s) cited",1
"passage",1
"magician(s)/figure",1
"conflict with christianity",1
"theological implication",1
"references",1
"technical detail",1
"theoretical focus",1
"magical techniques",1
"practical application",1
"context in crowley’s life",1
"philosophical/magical innovation",1
"magical techniques/practices introduced",1
"significance and legacy",1
"class",1
"key sonnets",1
"alchemical symbol",1
"element or process",1
"coloring space",1
"upright meaning",1
"reversed meaning",1
"archetype",1
"primary colors",1
"key mechanics",1
"example cards",1
"synergies",1
"symbol",1
"planet",1
"game mechanic",1
"effect on gameplay",1
"strategic tip",1
"example output",1
"ritual",1
"ingredients",1
"planetary correspondence",1
"outcome/reflection",1
"faction/allegiance",1
"alchemical ability",1
"political role",1
"key relationships",1
"character/theme from dick’s work",1
"tarot meaning",1
"connection to dick’s themes",1
"archetype/symbol",1
"semiotic structure",1
"interpretive function",1
"relevant context",1
"mythological figure",1
"magical/esoteric role",1
"context in bruno’s work",1
"section/content",1
"semiotic analysis",1
"emblematic notes",1
"magical implications",1
"neoplatonic concept",1
"scholastic background",1
"semiotic organizer",1
"philosophical role",1
"aspect of living thoughts",1
"philosophical implication",1
"mnemonic implication",1
"mnemonic role",1
"bruno’s idea",1
"rosicrucians",1
"freemasonry",1
"golden dawn",1
"golden dawn (zelator to adeptus exemptus)",1
"thelemic (a∴a∴ neophyte to magister templi)",1
"rosicrucian (outer order to inner order)",1
"freemasonry (entered apprentice to master mason and beyond)",1
"golden dawn (adeptus major to ipsissimus)",1
"thelemic (a∴a∴ adeptus exemptus to ipsissimus)",1
"rosicrucian (inner order)",1
"freemasonry (higher degrees)",1
"response to butler",1
"pressure",1
"plotinus clearly affirms",1
"status",1
"role of apophasis",1
"what it causes",1
